,text,userid,textID,label,post_id
973,"['babi', 'love', 'love', 'want', 'think', 'want', 'think', 'think']",01530624766b3be63c7709c6581c335d,973,2.0,973
975,"['thing', 'start', 'think', 'okay']",01530624766b3be63c7709c6581c335d,975,2.0,975
998,"['thing', 'word', 'know', 'come', 'go', 'rang', 'mani', 'true']",01530624766b3be63c7709c6581c335d,998,2.0,998
1002,"['mind', 'thing', 'want', 'know', 'hope', 'know', 'much']",01530624766b3be63c7709c6581c335d,1002,2.0,1002
1013,"['day', 'wait', 'meet', 'meet', 'right']",01530624766b3be63c7709c6581c335d,1013,2.0,1013
1060,"['memori', 'break', 'crack', 'bleed', 'ask', 'past', 'much']",01530624766b3be63c7709c6581c335d,1060,2.0,1060
1079,"['wing', 'freedom', 'feel', 'mean', 'trade', 'bring', 'left', 'let', 'see', 'feel', 'feel']",01530624766b3be63c7709c6581c335d,1079,2.0,1079
1081,"['come', 'know', 'alon']",01530624766b3be63c7709c6581c335d,1081,2.0,1081
1110,"['go', 'fall', 'trust']",01530624766b3be63c7709c6581c335d,1110,2.0,1110
1127,"['distanc', 'fenc', 'resist', 'keep', 'sit', 'put', 'build']",01530624766b3be63c7709c6581c335d,1127,2.0,1127
1141,"['side', 'chase', 'life./', 'caught', 'late']",01530624766b3be63c7709c6581c335d,1141,2.0,1141
1151,"['want', 'let', 'go']",01530624766b3be63c7709c6581c335d,1151,2.0,1151
1168,"['face', 'room', 'whore', 'pretti', 'full']",01530624766b3be63c7709c6581c335d,1168,2.0,1168
1171,"['night', 'danc', 'spent', 'drunk']",01530624766b3be63c7709c6581c335d,1171,2.0,1171
1226,"['clock', 'sit', 'watch']",01530624766b3be63c7709c6581c335d,1226,2.0,1226
1229,"['bone', 'parti', 'bone', 'bone', 'stay', 'night', 'drink', 'connect', 'connect']",01530624766b3be63c7709c6581c335d,1229,2.0,1229
1231,"['girl', 'low']",01530624766b3be63c7709c6581c335d,1231,2.0,1231
1232,"['world', 'turn']",01530624766b3be63c7709c6581c335d,1232,2.0,1232
1235,"['chang', 'world', 'mind', 'feel', 'feel', 'want', 'feel', 'feel', 'tri', 'chang', 'angri', 'helpless', 'violent', 'alon']",01530624766b3be63c7709c6581c335d,1235,2.0,1235
1236,"['cop', 'stop', 'call']",01530624766b3be63c7709c6581c335d,1236,2.0,1236
1639,"['educ', 'medic', 'point', 'balanc', 'temperatur', 'blood', 'vein', 'need', 'learn', 'need', 'got', 'keep', 'rise', 'pump', 'tear', 'give']",03b6072a243347cf634eee1018be408d,1639,2.0,1639
1653,"['face', 'man', 'mistak', 'state', 'return', 'eye', 'ladi', 'paint', 'gangbang', 'shape', 'open', 'spread', 'mental', 'sad']",03b6072a243347cf634eee1018be408d,1653,2.0,1653
1675,"['surrealist', 'nihilist', 'imagin', 'good']",03b6072a243347cf634eee1018be408d,1675,2.0,1675
1700,"['arm', 'pose', 'draw', 'thing', 'eye', 'scene', 'hate', 'spill', 'screen', 'illumin', 'scene', 'space', 'entwin', 'remain', 'kill', 'see', 'choos', 'frame', 'begin', 'blind', 'tri', 'fill', 'final', 'narr', 'light']",03b6072a243347cf634eee1018be408d,1700,2.0,1700
1724,"['tourist', 'wave', 'paint', 'black', 'time', 'tourist', 'heart', 'birthday', 'anim', 'lyric', 'treat', 'let', 'stay', 'treat', 'let', 'stay', 'break', 'soak', 'write', 'make', 'die', 'high', 'neg', 'good', 'high']",03b6072a243347cf634eee1018be408d,1724,2.0,1724
2663,"['touch', 'tumbl', 'intent', 'mess', 'thing', 'fix', 'time', 'time', 'get', 'keep', 'make', 'want', 'take', 'take', 'good', 'good', 'best', 'mani', 'mani']",04be1d6fa64adb60a3d2847f4f905ec1,2663,2.0,2663
2685,"['faith', 'start', 'shaken', 'can', 'go', 'undo']",04be1d6fa64adb60a3d2847f4f905ec1,2685,2.0,2685
2792,[],04be1d6fa64adb60a3d2847f4f905ec1,2792,2.0,2792
3165,"['phoni', 'get', 'fool']",054e5fd22c26a92926a61c261c99054c,3165,2.0,3165
3177,['lose'],054e5fd22c26a92926a61c261c99054c,3177,2.0,3177
3194,"['thing', 'love']",054e5fd22c26a92926a61c261c99054c,3194,2.0,3194
3200,"['wind', 'blow', 'leav']",054e5fd22c26a92926a61c261c99054c,3200,2.0,3200
3207,"['say', 'sorri']",054e5fd22c26a92926a61c261c99054c,3207,2.0,3207
3209,"['thing', 'sure']",054e5fd22c26a92926a61c261c99054c,3209,2.0,3209
3346,"['ring', 'hold', 'star', 'sea', 'patrol', 'begin', 'hard']",054e5fd22c26a92926a61c261c99054c,3346,2.0,3346
3355,['can'],054e5fd22c26a92926a61c261c99054c,3355,2.0,3355
4575,"['thrill', 'scienc', 'fiction', 'featur', 'gon', 'give', 'terribl', 'doubl']",0765c56b2da0e50568488dbbbe93751b,4575,2.0,4575
4579,"['world', 'spin']",0765c56b2da0e50568488dbbbe93751b,4579,2.0,4579
4590,"['fingertip', 'crack', 'foundat', 'hold']",0765c56b2da0e50568488dbbbe93751b,4590,2.0,4590
4603,"['sound', 'hand', 'pipe', 'flower', 'hold', 'play', 'worn']",0765c56b2da0e50568488dbbbe93751b,4603,2.0,4603
4621,['midnight'],0765c56b2da0e50568488dbbbe93751b,4621,2.0,4621
4636,"['perrrrhap', 'tell']",0765c56b2da0e50568488dbbbe93751b,4636,2.0,4636
4638,"['guil', 'aisl', 'conquest', 'led', 'made', 'femal', 'helpless']",0765c56b2da0e50568488dbbbe93751b,4638,2.0,4638
4642,"['wive', 'tonight', 'bark', 'water', 'marbl', 'shrine', 'lake', 'raw']",0765c56b2da0e50568488dbbbe93751b,4642,2.0,4642
4648,"['ground', 'danc', 'merri', 'sound', 'old', 'old']",0765c56b2da0e50568488dbbbe93751b,4648,2.0,4648
4654,['que'],0765c56b2da0e50568488dbbbe93751b,4654,2.0,4654
4692,"['give', 'can', 'fight', 'walk']",0765c56b2da0e50568488dbbbe93751b,4692,2.0,4692
4697,"['lemon', 'said', 'eat', 'mani', 'bitter']",0765c56b2da0e50568488dbbbe93751b,4697,2.0,4697
4721,"['ice', 'life', 'go', 'skate', 'thin', 'modern']",0765c56b2da0e50568488dbbbe93751b,4721,2.0,4721
4726,"['work', 'go']",0765c56b2da0e50568488dbbbe93751b,4726,2.0,4726
4746,['doubt'],077243dfd4750094bde7eb01e5cfcb42,4746,2.0,4746
4751,"['goos', 'wine', 'monkey', 'tobacco', 'line', 'line', 'monkey', 'row', 'boat', 'drank', 'chew', 'broke', 'got', 'choke', 'went', 'littl']",077243dfd4750094bde7eb01e5cfcb42,4751,2.0,4751
4787,"['eye', 'tie', 'tie', 'love', 'sunris', 'see', 'sleep', 'know', 'said', 'gon', 'tri', 'work', 'know', 'want', 'break', 'want', 'break', 'help', 'unti', 'gon', 'lie']",077243dfd4750094bde7eb01e5cfcb42,4787,2.0,4787
4794,"['pain', 'field', 'steel', 'rail', 'trade', 'hero', 'ghost', 'ash', 'tree', 'air', 'breez', 'comfort', 'chang', 'exchang', 'role', 'cage', 'think', 'tell', 'tell', 'smile', 'think', 'tell', 'walk', 'lead', 'green', 'cold', 'hot', 'hot', 'cool', 'cold']",077243dfd4750094bde7eb01e5cfcb42,4794,2.0,4794
5009,"['part', 'parti', 'spot', 'penni', 'want', 'understand', 'wish', 'freak', 'can', 'stop', 'come', 'lock', 'call', 'fanci', 'dancey', 'hot', 'damn', 'hot', 'right', 'right', 'seriou']",07da88e13509940f3116716552d6a32c,5009,2.0,5009
5241,"['tomorrow', 'know']",08074f06d6882e73b4db242b38be237a,5241,2.0,5241
5243,"['day', 'tomorrow', 'fun', 'wait', 'think', 'least']",08074f06d6882e73b4db242b38be237a,5243,2.0,5243
5581,"['way', 'lost', 'get', 'old', 'lost']",088bf0ed841bcc366475b3975eb1b9d2,5581,2.0,5581
5907,"['life', 'find', 't', 'town', 'day', 'day', 'need', 'drag', 'easier', 'live']",0ab7efcd582b43d58c1fec65058efa72,6153,2.0,6153
5921,"['boot', 'want', 'say']",0ab7efcd582b43d58c1fec65058efa72,6167,2.0,6167
6052,"['life', 'ca', 'beliv', 'taken', 'guess', 'say', 'bless']",0ab7efcd582b43d58c1fec65058efa72,6298,2.0,6298
6074,"['head', 'shoulder', 'eye', 'mom', 'tear', 'know', 'hope', 'old', 'good']",0ab7efcd582b43d58c1fec65058efa72,6320,2.0,6320
6086,"['hous', 'hope', 'cross', 'finger', 'found', 'take', 'perfect']",0ab7efcd582b43d58c1fec65058efa72,6332,2.0,6332
6133,"['babi', 'day', 'sit', 'rain', 'danc']",0ab7efcd582b43d58c1fec65058efa72,6379,2.0,6379
6208,"['tomorow', 'hit', 'babi', 'free']",0ab7efcd582b43d58c1fec65058efa72,6454,2.0,6454
6446,"['see', 'dead']",0b12516100c16f779b152858619786ff,6692,2.0,6692
6460,"['minut', 'made', 'feel', 'meant']",0b12516100c16f779b152858619786ff,6706,2.0,6706
6532,"['head', 'drown', 'fear', 'disappear']",0b12516100c16f779b152858619786ff,6778,2.0,6778
6561,"['love', 'found', 'complet', 'love']",0b12516100c16f779b152858619786ff,6807,2.0,6807
6578,"['world', 'think', 'face', 'love', 'earth', 'laugh']",0b12516100c16f779b152858619786ff,6824,2.0,6824
6579,"['hand', 'goodby', 'life', 'gave', 'realiz', 'say', 'understand', 'leav', 'carri']",0b12516100c16f779b152858619786ff,6825,2.0,6825
6602,"['pain', 'chest', 'fuck', 'ooh', 'wish']",0b12516100c16f779b152858619786ff,6848,2.0,6848
6616,"['thought', 'hate', 'believ', 'guess', 'wrong']",0b12516100c16f779b152858619786ff,6862,2.0,6862
6635,"['dream-', 'tri', 'rememb', 'gone', 'tri', 'scream', 'come']",0b12516100c16f779b152858619786ff,6881,2.0,6881
6639,"['girl', 'girl', 'tonight', 'mind', 'gon', 'lose', 'gon', 'lose', 'take', 'chang']",0b12516100c16f779b152858619786ff,6885,2.0,6885
6714,"['enemi', 'kick', 'shit', 'surpris', 'live', 'worst']",0b12516100c16f779b152858619786ff,6960,2.0,6960
6778,[],0b12516100c16f779b152858619786ff,7024,2.0,7024
6824,"['bodi', 'said', 'want', 'hold']",0b12516100c16f779b152858619786ff,7070,2.0,7070
7094,"['music', 'heart', 'break', 'hear', 'begin']",0c5d06511ef79fba34da417e8c751fff,7340,2.0,7340
7111,"['holiday', 'fall', 'grace', 'place', 'holiday-', 'boy', 'girl', 'run', 'need', 'take', 'got', 'find', 'new']",0c5d06511ef79fba34da417e8c751fff,7357,2.0,7357
7121,"['rage', 'mother', 'love', 'made']",0c5d06511ef79fba34da417e8c751fff,7367,2.0,7367
7161,"['soul', 'heart', 'sky', 'love', 'blood', 'face', 'gutter', 'salvat', 'place', 'home', 'place', 'girl', 'die', 'razorblad', 'search', 'find', 'got', 'go', 'restless', 'littl', 'littl', 'stray', 'littl', 'green']",0c5d06511ef79fba34da417e8c751fff,7407,2.0,7407
7225,"['blood', 'horizon', 'written', 'bring']",0c5d06511ef79fba34da417e8c751fff,7471,2.0,7471
7230,"['today', 'coffe', 'm', 'left', 'watch', 'drink']",0c5d06511ef79fba34da417e8c751fff,7476,2.0,7476
7287,['love'],0c5d06511ef79fba34da417e8c751fff,7533,2.0,7533
7334,"['field', 'field', 'let', 'take', 'go', 'hung', 'real', 'strawberri']",0c5d06511ef79fba34da417e8c751fff,7580,2.0,7580
7345,"['call', 'pray', 'call', 'hope']",0c5d06511ef79fba34da417e8c751fff,7591,2.0,7591
7349,"['place', 'place', 'shadow', 'room', 'cream', 'wait', 'shine', 'wait', 'run', 'themselves-', 'white']",0c5d06511ef79fba34da417e8c751fff,7595,2.0,7595
7373,"['love', 'blind', 'want', 'see']",0c5d06511ef79fba34da417e8c751fff,7619,2.0,7619
7391,[],0c5d06511ef79fba34da417e8c751fff,7637,2.0,7637
7401,"['kid', 'offspr', 'gon', 'go']",0c5d06511ef79fba34da417e8c751fff,7647,2.0,7647
7410,"['kid', 'stay']",0c5d06511ef79fba34da417e8c751fff,7656,2.0,7656
7428,"['heart', 'club', 'band', 'even', 'sgt', 'sit', 'let', 'go', 'lone']",0c5d06511ef79fba34da417e8c751fff,7674,2.0,7674
7480,"['finger', 'trigger', 'escap', 'fate', 'love']",0c5d06511ef79fba34da417e8c751fff,7726,2.0,7726
7488,"['talk', 'wish', 'think']",0c5d06511ef79fba34da417e8c751fff,7734,2.0,7734
7738,"['love', 'triangl', 'see']",0db30ddf6bde2bf4a88c377f0cd6047a,7984,2.0,7984
7991,"['sleep', 'night', 'work', 'day', 'm', 'okayyy']",0db30ddf6bde2bf4a88c377f0cd6047a,8237,2.0,8237
8119,"['shit', 'right', 'crazi']",0db30ddf6bde2bf4a88c377f0cd6047a,8365,2.0,8365
8185,"['bullet', 'chamber', 'go']",0de3fb81289774833b1a3ff7e5b86701,8431,2.0,8431
9144,"['weather', 'place', 'find', 'perfect']",0e8f270a9b126c3839044391deb1d4e2,9392,2.0,9392
9193,"['wish', 'night', 'care', 'keep', 'awak', 'hum']",0e8f270a9b126c3839044391deb1d4e2,9441,2.0,9441
9302,"['fuckin', 'differ', ""they'r"", 'joke', 'gon', 'make', 'make', 'piss', 'gon', 'retali', 'care', 'care', 'care', 'sick', 'good', 'dead', 'wors', 'aliv', 'dead']",0e8f270a9b126c3839044391deb1d4e2,9550,2.0,9550
9360,"['noww', 'understand', 'today', 'ca', 'wait', 'play']",0e8f270a9b126c3839044391deb1d4e2,9608,2.0,9608
9374,"['let', 'oooon', 'gooon', 'wo']",0e8f270a9b126c3839044391deb1d4e2,9622,2.0,9622
10155,"['arrest', 'girl', 'make', 'feel', 'ill']",0e8f270a9b126c3839044391deb1d4e2,10403,2.0,10403
10177,"['make', 'juici']",0e8f270a9b126c3839044391deb1d4e2,10425,2.0,10425
10371,"['want', 'm', 'wide', 'awak']",0e8f270a9b126c3839044391deb1d4e2,10619,2.0,10619
10647,"['love', 'collid', 'ca', 'stop', 'hurt', 'hate']",0fa20f622770259c44e0214336285a98,10895,2.0,10895
10673,['ill'],0fa20f622770259c44e0214336285a98,10921,2.0,10921
10689,"['m', 'wait']",0fa20f622770259c44e0214336285a98,10937,2.0,10937
11333,"['slide', 'slide', 'babi', 'let', 'quick', 'poison', 'deadli', 'deadli']",10f7981547a33d36f72a77b261ca9807,11581,2.0,11581
11335,['happi'],10f7981547a33d36f72a77b261ca9807,11583,2.0,11583
11352,"['children', 'bodi', 'heart', 'god', 'rainstorm', 'thing', 'rust', 'grow', 'get', 'torn', 'caus', 'turn', 'bigger', 'littl', 'good']",10f7981547a33d36f72a77b261ca9807,11600,2.0,11600
12225,"['life', 'watch', 'disappear']",12170edda5667c961a48d9715f391de2,12473,2.0,12473
12285,"['thank', 'day', 'calend', 'wait', 'listen', 'wait', 'know', 'bother', 'look', 'know', 'kid', 'huh', 'ohwait']",12170edda5667c961a48d9715f391de2,12533,2.0,12533
12326,"['money', 'weekend', 'text', ':]', 'think', 'need', 'come', 'spend', 'let', 'see', 'happen', 'differ', 'good', 'cool']",12170edda5667c961a48d9715f391de2,12574,2.0,12574
12345,"['hope', 'good']",12291e06a9b01bc2c2cfbd7728828a5d,12593,2.0,12593
12368,"['storm', 'rain', 'warn', 'crazi', 'hot', 'other']",12291e06a9b01bc2c2cfbd7728828a5d,12616,2.0,12616
12616,"['b', 'world', 'ground', 'surviv', 'crash', 'fall', 'hit', 'turn', 'tri', 'stop', 'cri']",12bca3ae16aabaa2ae2a33d54d0c1516,12864,2.0,12864
12864,"['today', 'smile', 'face', 'look', 'see', 'look', 'bring']",12f02d52562fc96a32916a2f49cc1bb3,13112,2.0,13112
12869,"['today', 'peopl', 'sky', 'king', 'queen', 'pray', 'break', 'shake', 'believ', 'live', 'true', 'cloudless', 'true']",12f02d52562fc96a32916a2f49cc1bb3,13117,2.0,13117
12872,"['way', 'night', 'day', 'friend', 'make', 'feel', 'turn', 'came', 'say', 'took', 'kind']",12f02d52562fc96a32916a2f49cc1bb3,13120,2.0,13120
12900,"['enemi', 'world', 'endal', 'beganjesu', 'tri', 'come', 'thought', 'come', 'make', 'feel', 'hear', 'throughi', 'first']",12f02d52562fc96a32916a2f49cc1bb3,13148,2.0,13148
12902,"['strength', 'soul', 'purpos', 'keep', 'walk', 'keep', 'trust', 'stand', 'move', 'tell', 'better', 'light']",12f02d52562fc96a32916a2f49cc1bb3,13150,2.0,13150
12905,"['thing', 'help', 'life', 'around.i', 'sky', 'good', 'clap', 'hand', 'brother', 'victori', 'stomp', 'go', 'got', 'need', 'come', 'turn', 'can', 'explain', 'can', 'obtain', 'love', 'get', 'think', 'make', 'make', 'make', 'can', 'see', 'got', 'high']",12f02d52562fc96a32916a2f49cc1bb3,13153,2.0,13153
12909,"['wish', 'see', 'hear', 'blind']",12f02d52562fc96a32916a2f49cc1bb3,13157,2.0,13157
12926,"['nation', 'phase', 'redempt', 'peopl', 'talk', 'say.gener', 'orphan', 'heart', 'lot', 'dark', 'heart', 'poison', 'love', 'got', 'goe', 'bleed', 'see', 'empti', 'much', 'littl', 'light', 'long']",12f02d52562fc96a32916a2f49cc1bb3,13174,2.0,13174
13143,"['vacanc', 'take', 'see', 'got']",1436ccb459cf7166b8e6926e9d2b6950,13391,2.0,13391
13159,"['tonight', 'side', 'way', 'die', 'heavenli']",1436ccb459cf7166b8e6926e9d2b6950,13407,2.0,13407
13168,"['separ', 'bodi', 'mind', 'intuit', 'opportun', 'overthink', 'overanalyz', 'wither', 'leav']",1436ccb459cf7166b8e6926e9d2b6950,13416,2.0,13416
13178,"['tonight', 'stitch', 'wear', 'go', 'found']",1436ccb459cf7166b8e6926e9d2b6950,13426,2.0,13426
13276,"['bodi', 'bodi', 'life', 'live', 'die', 'invest', 'invest']",1436ccb459cf7166b8e6926e9d2b6950,13524,2.0,13524
13285,"['day', 'mine', 'mine']",1436ccb459cf7166b8e6926e9d2b6950,13533,2.0,13533
13296,"['laugh', 'hate', 'strength', 'kind', 'take', 'easi', 'easi', 'gentl']",1436ccb459cf7166b8e6926e9d2b6950,13544,2.0,13544
13303,"['curv', 'think', 'mean', 'think', 'fall', 'special', 'special']",1436ccb459cf7166b8e6926e9d2b6950,13551,2.0,13551
13315,['want'],1436ccb459cf7166b8e6926e9d2b6950,13563,2.0,13563
13359,"['way', 'world', 'way', 'fight', 'see', 'start', 'sit', 'shut', 'calm']",1436ccb459cf7166b8e6926e9d2b6950,13607,2.0,13607
13381,"['game', 'love', 'let']",1436ccb459cf7166b8e6926e9d2b6950,13629,2.0,13629
13384,"['mother', 'soil', 'head', 'feel', 'fall']",1436ccb459cf7166b8e6926e9d2b6950,13632,2.0,13632
13682,['success'],15075396da708df0842101d8613d7867,13930,2.0,13930
15026,"['speaker', 'plug', 'jet', 'pull', 'upset']",1789589a6d2bba0f09d768f8f3445be5,15280,2.0,15280
15063,"['lord', 'art', 'rap', 'music', 'tell', 'tell', 'master', 'rhyme', 'bore', 'listen', 'owe', 'want', 'judgment']",1789589a6d2bba0f09d768f8f3445be5,15317,2.0,15317
15172,"['space', 'gon', 'send', 'find', 'outer']",1789589a6d2bba0f09d768f8f3445be5,15426,2.0,15426
15188,"['can', 'save']",1789589a6d2bba0f09d768f8f3445be5,15442,2.0,15442
15192,"['level/', 'place', 'fuck', 'tire']",1789589a6d2bba0f09d768f8f3445be5,15446,2.0,15446
15221,"['week', 'come', 'look', 'shitti', 'fuck']",1789589a6d2bba0f09d768f8f3445be5,15475,2.0,15475
15259,"['day', 'fire', 'burn', 'darkest']",1789589a6d2bba0f09d768f8f3445be5,15513,2.0,15513
15318,"['stand', 'think', 'understand']",1789589a6d2bba0f09d768f8f3445be5,15572,2.0,15572
15337,"['art', 'angel', 'sick', 'parasit', 'rediscov', 'lost', 'die', 'fli', 'live', 'lone', 'resent', 'twist']",1789589a6d2bba0f09d768f8f3445be5,15591,2.0,15591
15530,"['night', 'river', 'world', 'chang', 'tree', 'street', 'stranger', 'love', 'gone', 'bare', 'full']",1827f641b3ba066d3b4bf4f920ee8ed1,15784,2.0,15784
15555,['easi'],1827f641b3ba066d3b4bf4f920ee8ed1,15809,2.0,15809
15635,"['promis', 'pain', 'feel', 'see']",1827f641b3ba066d3b4bf4f920ee8ed1,15889,2.0,15889
15669,"['raini', 'heart', 'sorri']",1827f641b3ba066d3b4bf4f920ee8ed1,15923,2.0,15923
15709,"['fan', 'life', ""'ll"", 'greatest']",1827f641b3ba066d3b4bf4f920ee8ed1,15963,2.0,15963
15750,"['made', 'want', 'broken']",1827f641b3ba066d3b4bf4f920ee8ed1,16004,2.0,16004
15841,"['tortur', 'sin', 'lie', 'want', 'want', 'want', 'want', 'want', 'dead', 'aliv', 'dead', 'aliv', 'live']",183645c7ba4364a6af0e8b944b33eb06,16095,2.0,16095
15873,"['fuck', 'fuck', 'want']",183645c7ba4364a6af0e8b944b33eb06,16127,2.0,16127
15876,"['life', 'road', 'road', 'let', 'live', 'let', 'let', 'live', 'lie', 'let', 'old', 'old']",183645c7ba4364a6af0e8b944b33eb06,16130,2.0,16130
15878,"['problem', 'problem', 'caus', 'know', 'rip']",183645c7ba4364a6af0e8b944b33eb06,16132,2.0,16132
16293,[],18c9b1bf258e266665b43e49cdae4dc5,16547,2.0,16547
16312,"['night', 'time', 'crazi', 'good']",18c9b1bf258e266665b43e49cdae4dc5,16566,2.0,16566
16411,"['gon', 'make', 'alright', 'right']",18c9b1bf258e266665b43e49cdae4dc5,16665,2.0,16665
16476,"['day', 'goe']",18c9b1bf258e266665b43e49cdae4dc5,16730,2.0,16730
16502,"['go', 'doin']",18c9b1bf258e266665b43e49cdae4dc5,16756,2.0,16756
16523,"['work', 'weather', 'money', 'take', 'go', 'stop', 'make']",18c9b1bf258e266665b43e49cdae4dc5,16777,2.0,16777
16533,"['wish', 'ass', 'song', 'moment', 'bad']",18c9b1bf258e266665b43e49cdae4dc5,16787,2.0,16787
17184,"['bed', 'hope', 'thing', 'dark', 'point', 'life', 'got', 'gon', 'go', 'get', 'know', 'love', 'pray', 'need']",19f41b6facd7a78c3ceef4fec559cda7,17536,2.0,17536
17190,"['seein', 'red', 'outta', 'blue', 'singer', 'm', 'm', 'tire']",19f41b6facd7a78c3ceef4fec559cda7,17542,2.0,17542
17216,"['today', 'bitch', 'reason', 'love', 'fam', 'work', 'tryna', 'give', 'hate', 'sore']",19f41b6facd7a78c3ceef4fec559cda7,17568,2.0,17568
17268,"['door', 'want', 'love', 'key']",19f41b6facd7a78c3ceef4fec559cda7,17620,2.0,17620
17330,[],1a32585eabfae9612f70513dedbf9e27,17682,2.0,17682
17427,"['word', 'think', 'say', 'right']",1a32585eabfae9612f70513dedbf9e27,17779,2.0,17779
18216,"['spaghetti', 'chees', 'meatbal', 'tabl', 'floor', 'meatbal', 'door', 'garden', 'cover', 'lost', 'roll', 'roll', 'roll', 'top', 'poor', 'sneez', 'poor']",1b3cc0a2283ae955e9629f7244cca000,18568,2.0,18568
18637,"['bit', 'traci', 'chapman']",1b92f9f45ecf187571242e6183aed8b1,18989,2.0,18989
18906,"['room', 'essay', 'wish', 'appear', 'take', 'make', 'forget']",1b92f9f45ecf187571242e6183aed8b1,19258,2.0,19258
19182,"['whiskey', 'bar', 'show', 'next']",1c1a61d11a10f9fa967f250095792db3,19534,2.0,19534
19255,['job'],1c1a61d11a10f9fa967f250095792db3,19607,2.0,19607
19258,"['brain', 'sent', 'eloqu', 'entertain', 'tini']",1c1a61d11a10f9fa967f250095792db3,19610,2.0,19610
19260,"['tonight', 'stitch', 'door', 'go', 'got', 'wear']",1c1a61d11a10f9fa967f250095792db3,19612,2.0,19612
19301,"['peopl', 'peopl', 'live', 'common', 'common']",1c1a61d11a10f9fa967f250095792db3,19653,2.0,19653
19313,"['citi', 'desert', 'peopl', 'soul', 'make', 'feel', 'got', 'got', 'cold', 'mani']",1c1a61d11a10f9fa967f250095792db3,19665,2.0,19665
19365,"['knive', 'got', 'seen', 'keep']",1c1a61d11a10f9fa967f250095792db3,19717,2.0,19717
19409,"['time', 'cigarett', 'mouth', 'take', 'put']",1c1a87c25993e30ed27d821e61e51c67,19761,2.0,19761
19490,"['believ', 'breath', 'braveri', 'give', 'live', 'need', 'keep', 'breath', 'give']",1c1a87c25993e30ed27d821e61e51c67,19842,2.0,19842
19511,"['day', 'earth', 'guess', 'crappi', 'thirsti']",1c1a87c25993e30ed27d821e61e51c67,19863,2.0,19863
19519,"['line', 'road', 'fear', 'eye', 'lost', 'see', 'darken', 'shown', 'walk']",1c1a87c25993e30ed27d821e61e51c67,19871,2.0,19871
19757,"['time', 'say', 'leav', 'say', 'serv']",1c50d3e6d59c3cccf312df38f55f565e,20109,2.0,20109
19770,"['hurt', 'stuff', 'song', 'hinder', 'got', 'push', 'found', 'made', 'think', 'piss', 'much']",1c879567b71de5ad2a040bf62499945e,20122,2.0,20122
20065,['porqu'],1cb660f5a6e4a59e1384d9f55b957138,20417,2.0,20417
20965,"['heart', 'let']",1d7a89f86669b274451aed6ccb6d2c82,21317,2.0,21317
20989,"['day', 'want', 'want', 'want', 'better', 'free', 'free']",1d7e6f01223cf9c1bfebbe89cfff7321,21341,2.0,21341
21046,"['weather', 'night', 'walk', 'downtown', 'seem', 'perfect', 'beauti']",1d7e6f01223cf9c1bfebbe89cfff7321,21398,2.0,21398
